ID,Decidim Component ID,Decidim Scope ID,Created At,Updated At,Proposal Votes Count,State,Answered At,Answer,Reference,Address,Latitude,Longitude,Published At,Proposal Notes Count,Coauthorships Count,Participatory Text Level,Position,Created In Meeting,Cost,Cost Report,Execution Period,State Published At,Endorsements Count,Title,Body,Comments Count,Follows Count,Is Interactive,Badge Array,Associated State,Title Clean,Body Clean,Topic
13669,10,1.0,"2023-10-30T16:15:24,940","2023-10-30T16:18:50,622",26,,,,brasilpartipativo-PROP-2023-10-13669,,,,"2023-10-30T16:15:41,669",0,1,,2015,False,,,,,0,"{""pt-BR"": ""Programas de reciclagem e sustentabilidade para jovens ""}","{""pt-BR"": ""Tendo em vista a suma importância do meio ambiente, o projeto incentivaria jovens a praticarem hábitos benéficos ao meio ambiente, promovendo locais de descarte correto e dicas de reciclagem""}",1,1,True,[],,programas de reciclagem e sustentabilidade para jovens ,"tendo em vista a suma importância do meio ambiente, o projeto incentivaria jovens a praticarem hábitos benéficos ao meio ambiente, promovendo locais de descarte correto e dicas de reciclagem",Cultura
13371,10,1.0,"2023-10-30T10:16:10,227","2023-10-31T02:20:51,053",21,,,,brasilpartipativo-PROP-2023-10-13371,,,,"2023-10-30T10:16:42,845",0,1,,1717,False,,,,,0,"{""pt-BR"": ""O jovem liderando a cultura. ""}","{""pt-BR"": ""Garantir acesso das juventudes a editais e programas específicos que tenham como foco o reconhecimento das culturas locais, tradições e manifestações, bem como financiamento de projetos que objetivem opção a juventude (bandas marciais, fanfarras, grupos de capoeira, dança, teatro e\netc).""}",1,1,True,[],,o jovem liderando a cultura. ,"garantir acesso das juventudes a editais e programas específicos que tenham como foco o reconhecimento das culturas locais, tradições e manifestações, bem como financiamento de projetos que objetivem opção a juventude (bandas marciais, fanfarras, grupos de capoeira, dança, teatro e
etc).",Cultura
13436,10,1.0,"2023-10-30T12:38:32,173","2023-10-30T14:17:59,526",26,,,,brasilpartipativo-PROP-2023-10-13436,,,,"2023-10-30T12:42:45,495",0,1,,1782,False,,,,,0,"{""pt-BR"": ""Criação de espaços culturais destinados á expressão artística da juventude ""}","{""pt-BR"": ""O projeto tem como intuito a criação de espaços culturais destinados á expressão artística, estimulando a arte na vida dos jovens""}",1,2,True,[],,criação de espaços culturais destinados á expressão artística da juventude ,"o projeto tem como intuito a criação de espaços culturais destinados á expressão artística, estimulando a arte na vida dos jovens",Cultura
21507,287,,"2024-11-01T04:05:40,875","2024-11-01T04:14:53,817",1,,,,brasilpartipativo-PROP-2024-11-21507,,,,"2024-11-01T04:05:40,969",0,1,,237,False,,,,,0,"{""pt-BR"": ""Facilitação da Empregabilidade Cultural do MEI artístico-cultural""}","{""pt-BR"": ""O Simples Nacional e o SIMEI têm diminuído oportunidades para profissionais da cultura no MEI. É crucial reverter essa tendência, ampliando funções e CNAEs ligados à arte e cultura, e abrindo a mentalidade dos órgãos de prestações de contas para aceitar os fazedores de cultura. Isso fortalecerá o artista independente, permitindo que ele se estabeleça como negócio próprio e garantindo sua representatividade trabalhista.""}",1,1,True,[],,facilitação da empregabilidade cultural do mei artístico-cultural,"o simples nacional e o simei têm diminuído oportunidades para profissionais da cultura no mei. é crucial reverter essa tendência, ampliando funções e cnaes ligados à arte e cultura, e abrindo a mentalidade dos órgãos de prestações de contas para aceitar os fazedores de cultura. isso fortalecerá o artista independente, permitindo que ele se estabeleça como negócio próprio e garantindo sua representatividade trabalhista.",Cultura
13399,10,1.0,"2023-10-30T11:22:34,460","2023-10-31T01:32:43,837",18,,,,brasilpartipativo-PROP-2023-10-13399,,,,"2023-10-30T11:23:05,465",0,1,,1745,False,,,,,0,"{""pt-BR"": ""Levar a cultura ambiental para a juventude do interior.""}","{""pt-BR"": ""Levar a cultura ambiental local, orientando sobre a flora e fauna nas áreas verdes urbanas e criação de uma cartilha com itinerário de trilhas, que será distribuída para visitantes do parque ecológico criando um roteiro turístico ambiental;\n2 - Verificar a possibilidade de garantir o SELO VERDE às escolas parceiras, através de experiências com viveiros verdes nas escolas, sendo auxiliados pela secretaria de meio ambiente.""}",1,1,True,[],,levar a cultura ambiental para a juventude do interior.,"levar a cultura ambiental local, orientando sobre a flora e fauna nas áreas verdes urbanas e criação de uma cartilha com itinerário de trilhas, que será distribuída para visitantes do parque ecológico criando um roteiro turístico ambiental;
2 - verificar a possibilidade de garantir o selo verde às escolas parceiras, através de experiências com viveiros verdes nas escolas, sendo auxiliados pela secretaria de meio ambiente.",Cultura
19135,85,,"2024-07-24T18:19:08,253","2024-07-24T18:27:22,983",3,,,,brasilpartipativo-PROP-2024-07-19135,,,,"2024-07-24T18:19:15,601",0,1,,534,False,,,,,0,"{""pt-BR"": ""Petrobras e o fundo soberano com a Agenda 2030""}","{""pt-BR"": ""A Petrobras, reconhecendo sua responsabilidade socioambiental, pode anunciar oficialmente seu compromisso com a Agenda 2030 das Nações Unidas. Como parte desse compromisso, a empresa destina parte dos recursos do seu fundo soberano para projetos alinhados aos Objetivos de Desenvolvimento Sustentável (ODS). Esses investimentos visam aumentar a fonte de recursos, promover a sustentabilidade, reduzir emissões de carbono, apoiar as comunidades e contribuir para um futuro mais justo e resiliente.""}",1,1,True,[],,petrobras e o fundo soberano com a agenda 2030,"a petrobras, reconhecendo sua responsabilidade socioambiental, pode anunciar oficialmente seu compromisso com a agenda 2030 das nações unidas. como parte desse compromisso, a empresa destina parte dos recursos do seu fundo soberano para projetos alinhados aos objetivos de desenvolvimento sustentável (ods). esses investimentos visam aumentar a fonte de recursos, promover a sustentabilidade, reduzir emissões de carbono, apoiar as comunidades e contribuir para um futuro mais justo e resiliente.",Cultura
20671,287,50.0,"2024-10-16T18:45:38,727","2024-11-02T20:53:40,916",23,,,,brasilpartipativo-PROP-2024-10-20671,,,,"2024-10-16T18:45:38,712",0,1,,52,True,,,,,0,"{""pt-BR"": ""Profissão de conselheiro da cultura é regulamentada pelo Congresso, com remuneração""}","{""pt-BR"": ""<p>Proposta sugerida na Oficina do Distrito Federal que dialoga com o objetivo de Fomentar sistema de participação social diverso com ampliação do alcance territorial e redução das desigualdades, assegurando a participação ativa e representativa de grupos historicamente vulnerabilizados como povos indígenas, comunidades quilombolas, LGBTQIA+, pessoas com deficiências, juventudes periféricas e idosos e busca regulamentar a função de conselheiro com remuneração</p>""}",1,0,True,[],,"profissão de conselheiro da cultura é regulamentada pelo congresso, com remuneração","<p>proposta sugerida na oficina do distrito federal que dialoga com o objetivo de fomentar sistema de participação social diverso com ampliação do alcance territorial e redução das desigualdades, assegurando a participação ativa e representativa de grupos historicamente vulnerabilizados como povos indígenas, comunidades quilombolas, lgbtqia+, pessoas com deficiências, juventudes periféricas e idosos e busca regulamentar a função de conselheiro com remuneração</p>",Cultura
18958,85,,"2024-07-04T22:25:28,925","2024-07-18T00:12:58,373",22,,,,brasilpartipativo-PROP-2024-07-18958,,,,"2024-07-04T22:25:29,006",0,1,,361,False,,,,,0,"{""pt-BR"": ""Arquitetura Viva: Promovendo Propriedades que Regeneram a Natureza e Mitigam Mudanças Climáticas""}","{""pt-BR"": ""Arquitetura Viva integra: Soluções Baseadas na Natureza (SbN), agroecologia, e agricultura urbana. Utiliza técnicas de sustentabilidade em edificações, gestão de águas pluviais, tratamento de efluentes e infraestruturas verdes. Promove corredores ecológicos e agricultura intensiva próxima aos mercados urbanos, com apoio governamental, para reduzir a perda de alimentos e integrar áreas urbanas e rurais de forma sustentável e regenerativa. Reestruturar eixos é ecológicamente viável e útil.""}",1,1,True,[],,arquitetura viva: promovendo propriedades que regeneram a natureza e mitigam mudanças climáticas,"arquitetura viva integra: soluções baseadas na natureza (sbn), agroecologia, e agricultura urbana. utiliza técnicas de sustentabilidade em edificações, gestão de águas pluviais, tratamento de efluentes e infraestruturas verdes. promove corredores ecológicos e agricultura intensiva próxima aos mercados urbanos, com apoio governamental, para reduzir a perda de alimentos e integrar áreas urbanas e rurais de forma sustentável e regenerativa. reestruturar eixos é ecológicamente viável e útil.",Cultura
19170,85,,"2024-07-29T21:30:10,609","2024-07-31T15:26:29,462",22,,,,brasilpartipativo-PROP-2024-07-19170,,,,"2024-07-29T21:30:10,719",0,1,,567,False,,,,,0,"{""pt-BR"": ""Promovendo a Sustentabilidade Urbana através da Gestão de Resíduos Orgânicos: Uma Abordagem para a Educação Ambiental Integral e Desenvolvimento Local""}","{""pt-BR"": ""Proponho uma Educação Ambiental crítica e integral (Família X Escola X Comunidade) voltada para estratégias de tratamento e reciclagem de resíduos orgânicos. O foco é construir uma sociedade mais sustentável, reduzindo a quantidade de resíduos orgânicos destinados a aterros sanitários e transformando-os em recursos para a agricultura urbana e periurbana. Além disso, buscamos educar a comunidade sobre práticas sustentáveis e fomentar a pesquisa científica na Educação Básica.""}",1,1,True,[],,promovendo a sustentabilidade urbana através da gestão de resíduos orgânicos: uma abordagem para a educação ambiental integral e desenvolvimento local,"proponho uma educação ambiental crítica e integral (família x escola x comunidade) voltada para estratégias de tratamento e reciclagem de resíduos orgânicos. o foco é construir uma sociedade mais sustentável, reduzindo a quantidade de resíduos orgânicos destinados a aterros sanitários e transformando-os em recursos para a agricultura urbana e periurbana. além disso, buscamos educar a comunidade sobre práticas sustentáveis e fomentar a pesquisa científica na educação básica.",Cultura
13423,10,1.0,"2023-10-30T12:19:37,013","2023-10-30T20:08:32,479",22,,,,brasilpartipativo-PROP-2023-10-13423,,,,"2023-10-30T12:20:16,611",0,1,,1769,False,,,,,0,"{""pt-BR"": ""Incentivo à educação ambiental em áreas turísticas e ecoturismo ""}","{""pt-BR"": ""Incentivo de processos sustáveis no turismo, de forma que se fortaleça as relações com o meio ambiente nos locais. Incentivo fiscal para as boas práticas privadas no ecoturismo, com propagação do conhecimento sobre o meio, fauna e flora. Além de ampliar esses espaços para que a comunidade tenha local de fala, e possa fazer parte da cadeia produtiva e econômica.""}",1,1,True,[],,incentivo à educação ambiental em áreas turísticas e ecoturismo ,"incentivo de processos sustáveis no turismo, de forma que se fortaleça as relações com o meio ambiente nos locais. incentivo fiscal para as boas práticas privadas no ecoturismo, com propagação do conhecimento sobre o meio, fauna e flora. além de ampliar esses espaços para que a comunidade tenha local de fala, e possa fazer parte da cadeia produtiva e econômica.",Cultura
